groupe,subject_id,part,set_number,size,rt,correct,correct_letters,letters_recalled
transc,20,sentence-post,,,4497,1,,
transc,20,sentence-post,,,3037,1,,
transc,20,sentence-post,,,3528,1,,
transc,20,sentence-post,,,3123,1,,
transc,20,recall-post,2,4,4657,1,NRPJ,NRPJ
transc,20,sentence-post,,,4167,1,,
transc,20,sentence-post,,,2753,1,,
transc,20,sentence-post,,,4434,1,,
transc,20,sentence-post,,,3161,1,,
transc,20,sentence-post,,,3167,1,,
transc,20,sentence-post,,,4799,1,,
transc,20,recall-post,3,6,7513,1,JHSKNY,JHSKNY
transc,20,sentence-post,,,3477,1,,
transc,20,sentence-post,,,3178,1,,
transc,20,sentence-post,,,4552,1,,
transc,20,sentence-post,,,3545,1,,
transc,20,sentence-post,,,5086,1,,
transc,20,recall-post,4,5,6182,1,TPYKH,TPYKH
transc,20,sentence-post,,,3766,1,,
transc,20,sentence-post,,,2574,1,,
transc,20,sentence-post,,,3031,1,,
transc,20,sentence-post,,,2546,1,,
transc,20,sentence-post,,,5835,1,,
transc,20,sentence-post,,,4201,1,,
transc,20,recall-post,5,6,10515,0,SHJFYR,SHJFYL
transc,20,sentence-post,,,3391,1,,
transc,20,sentence-post,,,4975,1,,
transc,20,sentence-post,,,3305,1,,
transc,20,sentence-post,,,5369,1,,
transc,20,recall-post,6,4,4636,1,TNKH,TNKH
transc,18,sentence-pre,,,5482.4949999966,1,,
transc,18,sentence-pre,,,6022.7650000015,1,,
transc,18,sentence-pre,,,7066.4399999951,1,,
transc,18,sentence-pre,,,8121.0950000022,1,,
transc,18,sentence-pre,,,8341.9300000023,0,,
transc,18,recall-pre,1,5,8900.705,0,QRYHK,QRLPK
transc,18,sentence-pre,,,8192.9750000054,1,,
transc,18,sentence-pre,,,8722.3249999952,1,,
transc,18,sentence-pre,,,7228.1100000037,1,,
transc,18,sentence-pre,,,12587.41,0,,
transc,18,recall-pre,2,4,9915.4099999942,0,PFYK,F__R
transc,18,sentence-pre,,,12034.495,0,,
transc,18,sentence-pre,,,4337.1750000006,1,,
transc,18,sentence-pre,,,6002.1699999998,1,,
transc,18,sentence-pre,,,12525.905000002,1,,
transc,18,recall-pre,3,4,6224.2100000003,0,RYLF,RYFL
transc,18,sentence-pre,,,8971.0049999994,1,,
transc,18,sentence-pre,,,6413.830000005,1,,
transc,18,sentence-pre,,,5891.1399999997,1,,
transc,18,sentence-pre,,,9486.1600000004,1,,
transc,18,sentence-pre,,,6957.4250000005,1,,
transc,18,sentence-pre,,,10128.955,1,,
transc,18,recall-pre,4,6,6402.9250000021,0,FSJLYH,___H
transc,18,sentence-pre,,,8618.3600000004,1,,
transc,18,sentence-pre,,,5960.325,1,,
transc,18,sentence-pre,,,2518.5200000051,1,,
transc,18,sentence-pre,,,5640.3750000027,1,,
transc,18,sentence-pre,,,11032.584999994,1,,
transc,18,recall-pre,5,5,9164.1849999942,0,SRFQN,FRSKS
transc,18,sentence-pre,,,,0,,
transc,18,sentence-pre,,,7576.6399999993,1,,
transc,18,sentence-pre,,,6243.3650000021,1,,
transc,18,sentence-pre,,,3988.354999994,1,,
transc,18,sentence-pre,,,6012.250000007,1,,
transc,18,sentence-pre,,,7187.0750000016,1,,
transc,18,recall-pre,6,6,4977.1549999932,0,HQFSKL,QKL
transc,18,sentence-post,,,5768.9500000053,1,,
transc,18,sentence-post,,,5514.6050000037,1,,
transc,18,sentence-post,,,7069.8499999996,1,,
transc,18,sentence-post,,,9197.0449999934,0,,
transc,18,recall-post,1,4,10335.475,0,HSFY,H_SF
transc,18,sentence-post,,,5403.2399999993,1,,
transc,18,sentence-post,,,9093.9149999977,1,,
transc,18,sentence-post,,,5584.6349999993,1,,
transc,18,sentence-post,,,5995.8049999988,0,,
transc,18,sentence-post,,,6537.0449999976,0,,
transc,18,recall-post,2,5,6916.7250000029,0,HJLQF,HJFSF
transc,18,sentence-post,,,5926.1649999972,1,,
transc,18,sentence-post,,,5502.9100000029,1,,
transc,18,sentence-post,,,4242.6049999995,1,,
transc,18,sentence-post,,,5645.3050000053,1,,
transc,18,recall-post,3,4,5383.1449999996,0,QYPT,QYPJ
transc,18,sentence-post,,,9998.1100000003,1,,
transc,18,sentence-post,,,5926.1899999981,1,,
transc,18,sentence-post,,,6276.4099999988,1,,
transc,18,sentence-post,,,6828.1500000013,1,,
transc,18,sentence-post,,,6598.5050000018,1,,
transc,18,recall-post,4,5,12815.260000003,0,LKSQP,LKSK
transc,18,sentence-post,,,4260.0400000014,1,,
transc,18,sentence-post,,,9076.5300000054,1,,
transc,18,sentence-post,,,6729.3449999997,1,,
transc,18,sentence-post,,,5184.0499999966,1,,
transc,18,sentence-post,,,6467.3949999996,1,,
transc,18,sentence-post,,,5284.1100000003,1,,
transc,18,recall-post,5,6,4189.1449999963,0,YPJTRN,JFN
transc,18,sentence-post,,,7902.2149999943,1,,
transc,18,sentence-post,,,3769.5300000054,1,,
transc,18,sentence-post,,,8845.484999998,1,,
transc,18,sentence-post,,,6124.1900000023,1,,
transc,18,sentence-post,,,6708.3799999966,1,,
transc,18,sentence-post,,,6626.9400000018,1,,
transc,18,recall-post,6,6,16015.830000004,0,QFNLKR,QFNLK
transc,12,sentence-pre,,,5714.9149999968,1,,
transc,12,sentence-pre,,,4714.4399999998,0,,
transc,12,sentence-pre,,,5400.5700000016,1,,
transc,12,sentence-pre,,,5389.5649999977,1,,
transc,12,sentence-pre,,,,0,,
transc,12,recall-pre,1,5,21145.099999998,0,TFHNR,TFHN
transc,12,sentence-pre,,,6585.154999997,1,,
transc,12,sentence-pre,,,5334.0400000016,1,,
transc,12,sentence-pre,,,4403.295,0,,
transc,12,sentence-pre,,,6933.0349999982,0,,
transc,12,sentence-pre,,,6134.7400000014,1,,
transc,12,sentence-pre,,,2800.1650000006,1,,
transc,12,recall-pre,2,6,25138.580000003,0,QPNRSK,QNS
transc,12,sentence-pre,,,6661.4149999986,1,,
transc,12,sentence-pre,,,3999.6449999999,1,,
transc,12,sentence-pre,,,6164.2700000012,0,,
transc,12,sentence-pre,,,7183.2250000007,1,,
transc,12,sentence-pre,,,4813.9899999987,1,,
transc,12,recall-pre,3,5,5462.2000000017,0,NPJKT,NPKT
transc,12,sentence-pre,,,5622.6849999985,1,,
transc,12,sentence-pre,,,2768.079999998,1,,
transc,12,sentence-pre,,,4249.995000002,1,,
transc,12,sentence-pre,,,6120.9950000011,1,,
transc,12,recall-pre,4,4,6889.7800000013,1,RPSJ,RPSJ
transc,12,sentence-pre,,,3517.1699999991,1,,
transc,12,sentence-pre,,,,0,,
transc,12,sentence-pre,,,5284.4500000029,1,,
transc,12,sentence-pre,,,3662.9250000005,1,,
transc,12,recall-pre,5,4,5834.4550000001,0,QYNS,YNS
transc,12,sentence-pre,,,7634.8749999997,0,,
transc,12,sentence-pre,,,3858.3099999996,1,,
